TractFIPS,Year,ACCESS2,ARTHRITIS,BINGE,BPHIGH,BPMED,CANCER,CASTHMA,CHD,CHECKUP,CHOLSCREEN,COLON_SCREEN,COPD,COREM,COREW,CSMOKING,DENTAL,DIABETES,HIGHCHOL,KIDNEY,LPA,MAMMOUSE,MHLTH,OBESITY,PAPTEST,PHLTH,SLEEP,STROKE,TEETHLOST
28049000100,2013,NA,NA,NA,36.1,81.6,NA,NA,NA,NA,78.4,NA,NA,NA,NA,NA,NA,NA,41.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049000100,2014,10.7,25.8,15.1,NA,NA,7.6,7,5.9,76.4,NA,70.1,4.5,44.3,40.8,13.3,72.8,8.7,NA,2.6,19.4,76.4,8.7,26.7,88.2,8.6,31.8,2.7,9.7
28049000100,2015,10.1,23.8,13.7,35.2,80.4,7.7,7.2,5.3,78,82.4,NA,4.2,NA,NA,12.5,NA,8.6,34.1,2.5,25.1,NA,9.3,26.7,NA,9.3,NA,2.6,NA
28049000100,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.4,NA,44.3,35.3,NA,75.4,NA,NA,NA,NA,76.6,NA,NA,89.1,NA,30,NA,9.3
28049000100,2017,11.9,23.1,15.7,33.8,79.2,7.8,8.4,5.6,70.1,85.5,NA,4.9,NA,NA,13.2,NA,8.9,35.4,2.7,23,NA,10.3,25.9,NA,10.3,NA,2.8,NA
28049000200,2013,NA,NA,NA,35.9,80.8,NA,NA,NA,NA,76.2,NA,NA,NA,NA,NA,NA,NA,41.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049000200,2014,10.8,25.2,15.1,NA,NA,7.1,7.1,5.8,75.3,NA,68.1,4.6,44.1,39.2,13.6,71.9,8.5,NA,2.5,19.3,75.4,9.1,27,87.1,8.8,31.6,2.6,9.9
28049000200,2015,9.9,23.2,13.8,34,79.3,7.3,7.3,5.3,77,81.5,NA,4.3,NA,NA,12.6,NA,8.3,33.9,2.5,24.7,NA,9.5,26.8,NA,9.4,NA,2.5,NA
28049000200,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.9,NA,44.4,35.1,NA,75.7,NA,NA,NA,NA,76.8,NA,NA,89,NA,29.9,NA,9
28049000200,2017,9.7,21.3,17.1,30.6,77.5,7.4,8.1,4.7,69.2,86,NA,4,NA,NA,11.5,NA,7.6,33.8,2.4,19.8,NA,9.5,24.2,NA,8.9,NA,2.3,NA
28049000301,2013,NA,NA,NA,41.2,74.4,NA,NA,NA,NA,59.5,NA,NA,NA,NA,NA,NA,NA,34.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049000301,2014,33.4,22.7,11.3,NA,NA,3.2,11.7,4.4,74.1,NA,48.1,6.8,29.9,23.6,30,38.1,12.2,NA,2.9,36.5,70.7,18.6,45.3,76.7,15.7,48.8,3.7,29.2
28049000301,2015,28.8,20.5,10.3,39.9,71.9,3.3,11.3,4.4,77.2,63,NA,6.2,NA,NA,28.6,NA,12.3,29.5,2.9,41.1,NA,18.5,43.5,NA,16,NA,3.7,NA
28049000301,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,27.2,21.3,NA,44.4,NA,NA,NA,NA,79.7,NA,NA,88.2,NA,44.6,NA,28.7
28049000301,2017,23.8,18.3,12.6,37.6,71.2,3.4,12.1,4.2,71,76.2,NA,5.8,NA,NA,25.4,NA,11.4,27.9,3.1,36.6,NA,18.5,41.6,NA,14.6,NA,3.4,NA
28049000302,2013,NA,NA,NA,39,76.2,NA,NA,NA,NA,67.8,NA,NA,NA,NA,NA,NA,NA,34.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049000302,2014,23.8,22.3,12.8,NA,NA,4,9.8,4.4,76.7,NA,58.1,5.2,34.7,30.1,22.9,50.1,11.6,NA,2.7,29.4,75.7,14,40.1,83.7,12,45.4,3.3,21.2
28049000302,2015,22.2,20.8,11.2,40.2,75.1,4.1,10,4.6,78.9,69.5,NA,5.1,NA,NA,22.5,NA,12.2,30.1,2.8,36,NA,14.9,40.2,NA,13.3,NA,3.5,NA
28049000302,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.9,NA,33.1,26.2,NA,56.2,NA,NA,NA,NA,80.6,NA,NA,89.6,NA,41.4,NA,20
28049000302,2017,19.3,18.6,13.9,37,73.8,4.1,10.9,4.1,72.7,80.7,NA,4.7,NA,NA,19.6,NA,11,28.7,2.8,30.6,NA,14.4,37.2,NA,11.9,NA,3.1,NA
28049000400,2013,NA,NA,NA,41.6,81.3,NA,NA,NA,NA,73.4,NA,NA,NA,NA,NA,NA,NA,40.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049000400,2014,18.9,27.7,12.4,NA,NA,6.3,8.8,6.5,77,NA,62,6,37.3,30.8,19,57.6,12.2,NA,3.1,27.7,74.1,12.1,35.2,84,12.2,39.3,4,18.1
28049000400,2015,17.2,26,11,42.1,80.2,6.6,8.9,6.5,78.9,76.3,NA,5.9,NA,NA,18.2,NA,12.8,34.9,3.4,33.5,NA,12.7,35.4,NA,13.4,NA,4.1,NA
28049000400,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.2,NA,33.8,24.6,NA,58.3,NA,NA,NA,NA,78,NA,NA,88.9,NA,37.2,NA,20.1
28049000400,2017,18.3,24.7,13,40.7,79.3,6.5,10.1,6.7,72.1,82.2,NA,6.6,NA,NA,19.5,NA,12.8,35.1,3.5,32.1,NA,14,34.5,NA,14,NA,4.1,NA
28049000500,2013,NA,NA,NA,50.6,84.3,NA,NA,NA,NA,73.9,NA,NA,NA,NA,NA,NA,NA,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049000500,2014,26.3,32.5,9.9,NA,NA,5.6,10.8,7.8,79.9,NA,59,8.1,28,25.7,25.2,44.4,19.2,NA,4,36.6,74.8,15.7,45,80.9,16.7,47.2,5.9,27.5
28049000500,2015,23.5,29.7,9,51.7,83,5.7,10.7,7.6,82.1,74.4,NA,7.5,NA,NA,24,NA,19.5,38,3.8,41.3,NA,15.6,44,NA,17.3,NA,5.9,NA
28049000500,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.8,NA,26,21.8,NA,49.2,NA,NA,NA,NA,80.6,NA,NA,88.5,NA,43.2,NA,27.4
28049000500,2017,22.9,27.9,10.7,49.5,82.3,5.9,12,7.5,76.7,83,NA,8,NA,NA,23.5,NA,18.7,37.4,4.3,38.3,NA,16.1,42.2,NA,17.2,NA,5.6,NA
28049000600,2013,NA,NA,NA,57.1,86.7,NA,NA,NA,NA,73.9,NA,NA,NA,NA,NA,NA,NA,46.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049000600,2014,29.1,36.5,8.6,NA,NA,6.6,10.9,9.9,80.7,NA,55.2,9.6,27.4,23.7,24.8,41.2,22.5,NA,4.9,40.2,72,15.7,45.7,78.7,18.9,46.3,7.7,31.8
28049000600,2015,24.6,32.9,8,55.7,85.3,6.8,10.4,9.4,83.1,75.8,NA,8.4,NA,NA,22.9,NA,21.9,40.3,4.6,42.7,NA,14.9,43.4,NA,18.5,NA,7.3,NA
28049000600,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.3,NA,25.8,21.5,NA,49.9,NA,NA,NA,NA,79.6,NA,NA,88.5,NA,41.6,NA,28.2
28049000600,2017,23.7,30.9,9.4,53.8,84.9,6.9,11.7,9.5,78.1,84,NA,9,NA,NA,22.5,NA,21.4,40.1,5.2,40.1,NA,15.5,42.2,NA,18.5,NA,7,NA
28049000700,2013,NA,NA,NA,44.9,80.5,NA,NA,NA,NA,69.6,NA,NA,NA,NA,NA,NA,NA,38.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049000700,2014,25.4,26.8,11.5,NA,NA,4.3,10.7,5.5,78.2,NA,56,6.6,29.3,27.3,25.7,46,15.1,NA,3.2,34,76.1,15.8,43.1,81.7,14.6,47.7,4.3,25.2
28049000700,2015,24.7,25.3,10,46.3,79.2,4.4,10.9,5.7,80.2,69.8,NA,6.7,NA,NA,26.1,NA,16.1,34.4,3.1,40.9,NA,16.8,43.3,NA,16.5,NA,4.6,NA
28049000700,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.9,NA,25.5,21.7,NA,46.6,NA,NA,NA,NA,80.6,NA,NA,87.6,NA,44.7,NA,28.9
28049000700,2017,24.7,24.3,11.5,45.4,78.6,4.4,12.6,6.1,74.2,79.4,NA,7.6,NA,NA,26.5,NA,16.4,34,3.8,39.4,NA,18.4,43,NA,17.4,NA,4.9,NA
28049000800,2013,NA,NA,NA,50.1,83.1,NA,NA,NA,NA,69.9,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049000800,2014,35,32.9,9.1,NA,NA,5.1,12.1,8.3,78,NA,50.7,10,24.9,21.7,30.6,34.9,20.4,NA,4.1,43.1,71,18.9,47.7,74.8,20.2,49,6.8,37
28049000800,2015,33.6,31.7,7.8,54.1,81.9,5.3,12.2,9.3,80.3,66.5,NA,10.6,NA,NA,31.7,NA,22.6,40.3,4.7,49.2,NA,20.1,48.2,NA,23,NA,7.9,NA
28049000800,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5,NA,20.2,16.9,NA,35,NA,NA,NA,NA,79.4,NA,NA,87,NA,46.2,NA,43
28049000800,2017,28.9,29.3,9.3,52.2,81.7,5.4,13.3,9.3,75.3,78.2,NA,10.7,NA,NA,30,NA,21.8,38.6,5.4,46.3,NA,20.7,47.3,NA,22,NA,7.4,NA
28049000900,2013,NA,NA,NA,56.9,86.6,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049000900,2014,35.7,38.7,8.2,NA,NA,6.6,11.7,11.4,79.8,NA,49.6,11.8,25.1,21.1,29.2,33.7,24.8,NA,5.1,46.1,69,18,48,74.9,22.4,48.2,9.1,40.4
28049000900,2015,29.6,35,7.7,58.2,85.3,6.9,10.9,11,82.6,73.2,NA,10.1,NA,NA,26.4,NA,24.4,42.3,5.1,47.2,NA,16.7,45.7,NA,21.5,NA,8.7,NA
28049000900,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1,NA,22.5,18.3,NA,40.6,NA,NA,NA,NA,78.8,NA,NA,88.1,NA,43.7,NA,37.5
28049000900,2017,27.1,33.3,8.7,57.4,85.4,7,12.1,11.6,77.9,82.3,NA,11.2,NA,NA,26.2,NA,25,42.1,6.2,45.8,NA,17.7,46.2,NA,22,NA,8.8,NA
28049001000,2013,NA,NA,NA,54.9,86.2,NA,NA,NA,NA,74.4,NA,NA,NA,NA,NA,NA,NA,44.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049001000,2014,32,36.5,8.7,NA,NA,6.3,11.2,10.3,79.9,NA,52.5,10.3,25.9,21.8,27.3,37.8,22.8,NA,4.7,43,70.6,16.9,46.1,76.6,20.3,47.4,8,36.6
28049001000,2015,28.4,34.2,7.7,57.2,85.1,6.6,10.8,10.7,82.3,73.1,NA,9.8,NA,NA,26.2,NA,23.8,41.6,5,46.8,NA,16.8,45.5,NA,21.4,NA,8.4,NA
28049001000,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,21.7,17.1,NA,39.5,NA,NA,NA,NA,78.6,NA,NA,87.5,NA,44.1,NA,39.6
28049001000,2017,27.8,33.3,8.5,57.3,85.2,6.8,12.4,11.9,77.2,81.5,NA,11.7,NA,NA,27.5,NA,25.3,42.2,6.4,46.9,NA,18.8,47,NA,23.1,NA,9,NA
28049001100,2013,NA,NA,NA,60.3,88,NA,NA,NA,NA,75.4,NA,NA,NA,NA,NA,NA,NA,48.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049001100,2014,35.7,40.9,7.6,NA,NA,6.8,11.6,12.7,80.2,NA,48.9,12.9,24.9,20.5,29.6,32.7,27.3,NA,5.5,47.3,67.5,18.2,50.1,73.5,23.9,48.5,9.8,39.8
28049001100,2015,33.4,39.1,6.6,63.5,87,7.1,11.3,14,82.5,73.1,NA,13.1,NA,NA,30.1,NA,29.7,46.1,6.3,51.8,NA,18.5,50.1,NA,26.2,NA,11.1,NA
28049001100,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.9,NA,19.7,15.7,NA,32.7,NA,NA,NA,NA,77.3,NA,NA,87.4,NA,45.3,NA,46.2
28049001100,2017,28.6,36,7.8,61.4,87,7.2,12.3,13.9,78.2,82.7,NA,13.2,NA,NA,28.7,NA,28.6,45.2,7,48.9,NA,18.7,49,NA,24.8,NA,10.2,NA
28049001200,2013,NA,NA,NA,53.6,84.5,NA,NA,NA,NA,71.5,NA,NA,NA,NA,NA,NA,NA,43.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049001200,2014,33,33.9,9.7,NA,NA,5.6,11.2,9.1,78.8,NA,51.6,9.7,25.9,22,29.1,36.7,21.1,NA,4.5,42.3,72,17.4,46.7,77.7,19.4,48.7,7.2,35.9
28049001200,2015,32.3,32.3,8.3,55.6,83,5.8,11.3,9.8,80.8,69.5,NA,10,NA,NA,29.9,NA,22.8,40.7,4.6,48.3,NA,18.4,46.8,NA,21.9,NA,8,NA
28049001200,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,21.1,17.2,NA,37.1,NA,NA,NA,NA,78.4,NA,NA,86.9,NA,45.4,NA,41.4
28049001200,2017,31.2,30.5,9.7,54,82.6,5.9,13.1,10.2,75.6,79.3,NA,11.1,NA,NA,30.3,NA,22.5,39.9,5.5,46.6,NA,19.6,45.6,NA,22.4,NA,7.9,NA
28049001300,2013,NA,NA,NA,37,80,NA,NA,NA,NA,72.2,NA,NA,NA,NA,NA,NA,NA,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049001300,2014,14.1,24.6,15,NA,NA,6.4,7.6,5.6,74.6,NA,65.8,4.9,41.3,36.1,16.2,66.1,9.1,NA,2.6,22.2,74.7,10.3,29.1,85.5,9.7,34.4,2.9,12.9
28049001300,2015,14.3,23.5,13.1,36,78.5,6.6,8,5.7,76.3,76.5,NA,5.2,NA,NA,16.3,NA,9.7,33.8,2.7,29.2,NA,11.4,30,NA,11.3,NA,3.1,NA
28049001300,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.2,NA,38.9,30,NA,66.6,NA,NA,NA,NA,76.3,NA,NA,87.9,NA,32.9,NA,14.9
28049001300,2017,15.8,22.4,15.5,34,77.1,6.6,9.4,5.8,68.5,81.4,NA,5.8,NA,NA,17.1,NA,9.6,34.1,2.9,26.7,NA,12.7,28.4,NA,12.1,NA,3.1,NA
28049001400,2013,NA,NA,NA,38.2,84.8,NA,NA,NA,NA,81.3,NA,NA,NA,NA,NA,NA,NA,45.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049001400,2014,7.2,28.2,14.6,NA,NA,9.4,6.2,6.7,77.7,NA,73.2,4.2,46.6,42.4,10,79.4,8.3,NA,2.7,16.9,77.6,7.1,21.8,88.6,7.7,26.7,2.7,7.7
28049001400,2015,6.8,25.9,13.3,35.6,83.5,9.7,6.4,5.9,79.1,86.1,NA,3.9,NA,NA,9,NA,8.1,36.7,2.6,21.8,NA,7.5,22.1,NA,8.3,NA,2.5,NA
28049001400,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.5,NA,47.2,36.8,NA,81.3,NA,NA,NA,NA,76.9,NA,NA,88.4,NA,25.3,NA,7.1
28049001400,2017,8.3,25.8,14.7,34.9,82.9,9.7,7.6,6.5,71.2,87.7,NA,4.8,NA,NA,9.8,NA,9,39.2,2.9,20.4,NA,8.6,22.2,NA,9.7,NA,2.9,NA
28049001500,2013,NA,NA,NA,25.5,74,NA,NA,NA,NA,66.4,NA,NA,NA,NA,NA,NA,NA,35.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049001500,2014,9.1,17.3,19.8,NA,NA,5,6.9,3.6,71,NA,70.6,3.1,44.1,40.8,12.2,76.5,5.3,NA,1.8,14.4,76.8,8.5,21.6,86.7,6.3,28.8,1.6,7.7
28049001500,2015,8.5,16.1,17.9,23.7,72.9,5.1,7.2,3.3,72.8,74.1,NA,3,NA,NA,11.4,NA,5.4,27.6,1.8,20,NA,9.4,22.2,NA,7,NA,1.5,NA
28049001500,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.2,NA,43.8,34.9,NA,77.3,NA,NA,NA,NA,77.4,NA,NA,87.4,NA,27.8,NA,7.8
28049001500,2017,10.2,16.1,20,23.4,71.5,5.1,8.5,3.6,63.1,78.1,NA,3.6,NA,NA,12.5,NA,5.9,28.5,1.9,19.1,NA,11.5,22.3,NA,8.2,NA,1.8,NA
28049001600,2013,NA,NA,NA,32.8,74.4,NA,NA,NA,NA,59.1,NA,NA,NA,NA,NA,NA,NA,34.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049001600,2014,21,19.2,16.2,NA,NA,3.7,9.2,4.2,71.7,NA,59.1,4.9,32,28.1,21.5,55.2,9.4,NA,2.3,25.8,75.4,13.6,32.8,79.8,10.6,39.4,2.8,20.2
28049001600,2015,21.7,18.9,13.4,33.8,73.3,3.8,9.6,4.7,73.7,61.5,NA,5.6,NA,NA,22.8,NA,10.7,30.2,2.7,34.2,NA,15.7,34.6,NA,13.2,NA,3.3,NA
28049001600,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.7,NA,27.1,20.9,NA,52.2,NA,NA,NA,NA,80.1,NA,NA,85.9,NA,37.9,NA,26.2
28049001600,2017,21.3,18,15.4,33.1,72.3,3.8,11,5,65.9,70.9,NA,6.2,NA,NA,22.9,NA,10.9,29.5,3,32.9,NA,18.3,34.1,NA,13.9,NA,3.4,NA
